coverage_id,policy_version_id,coverage_type,limit_amount,deductible_amount
COV-00048,PV-00012,comprehensive,100000,250
COV-00049,PV-00013,bodily_injury_liability,50000,250
COV-00050,PV-00013,property_damage_liability,50000,250
COV-00051,PV-00013,collision,250000,250
COV-00052,PV-00013,comprehensive,50000,1000
COV-00053,PV-00014,bodily_injury_liability,50000,1000
COV-00054,PV-00014,property_damage_liability,25000,500
COV-00055,PV-00014,collision,25000,500
COV-00056,PV-00014,comprehensive,50000,250
COV-00057,PV-00015,bodily_injury_liability,100000,500
COV-00058,PV-00015,property_damage_liability,50000,250
COV-00059,PV-00015,collision,25000,1000
COV-00060,PV-00015,comprehensive,50000,500
COV-00061,PV-00016,bodily_injury_liability,100000,500
COV-00062,PV-00016,property_damage_liability,250000,1000
COV-00063,PV-00016,collision,100000,250
COV-00064,PV-00016,comprehensive,25000,500
COV-00065,PV-00017,bodily_injury_liability,100000,500
COV-00066,PV-00017,property_damage_liability,25000,500
COV-00067,PV-00017,collision,50000,500
COV-00068,PV-00017,comprehensive,25000,1000
COV-00069,PV-00018,bodily_injury_liability,100000,500
COV-00070,PV-00018,property_damage_liability,25000,1000
COV-00071,PV-00018,collision,100000,1000
COV-00072,PV-00018,comprehensive,100000,1000
COV-00073,PV-00019,bodily_injury_liability,100000,1000
COV-00074,PV-00019,property_damage_liability,250000,500
COV-00075,PV-00019,collision,250000,1000
COV-00076,PV-00019,comprehensive,100000,1000
COV-00077,PV-00020,bodily_injury_liability,250000,1000
COV-00078,PV-00020,property_damage_liability,25000,500
COV-00079,PV-00020,collision,100000,250
COV-00080,PV-00020,comprehensive,250000,1000
COV-00081,PV-00021,bodily_injury_liability,250000,500
COV-00082,PV-00021,property_damage_liability,250000,1000
COV-00083,PV-00021,collision,50000,1000
COV-00084,PV-00021,comprehensive,250000,1000
COV-00085,PV-00022,bodily_injury_liability,100000,250
COV-00086,PV-00022,property_damage_liability,50000,1000
COV-00087,PV-00022,collision,100000,250
COV-00088,PV-00022,comprehensive,50000,250
COV-00089,PV-00023,bodily_injury_liability,50000,1000
COV-00090,PV-00023,property_damage_liability,250000,500
COV-00091,PV-00023,collision,250000,250
COV-00092,PV-00023,comprehensive,50000,1000
COV-00093,PV-00024,bodily_injury_liability,250000,250
COV-00094,PV-00024,property_damage_liability,50000,1000
COV-00095,PV-00024,collision,250000,250
COV-00096,PV-00024,comprehensive,50000,250
COV-00097,PV-00025,bodily_injury_liability,100000,500
COV-00098,PV-00025,property_damage_liability,250000,1000
COV-00099,PV-00025,collision,250000,250
COV-00100,PV-00025,comprehensive,250000,500
COV-00101,PV-00026,bodily_injury_liability,100000,500
COV-00102,PV-00026,property_damage_liability,25000,1000
COV-00103,PV-00026,collision,100000,250
COV-00104,PV-00026,comprehensive,100000,500
COV-00105,PV-00027,bodily_injury_liability,25000,250
COV-00106,PV-00027,property_damage_liability,50000,250
COV-00107,PV-00027,collision,250000,1000
COV-00108,PV-00027,comprehensive,50000,1000
COV-00109,PV-00028,bodily_injury_liability,250000,500
COV-00110,PV-00028,property_damage_liability,250000,500
COV-00111,PV-00028,collision,25000,250
COV-00112,PV-00028,comprehensive,250000,500
COV-00113,PV-00029,bodily_injury_liability,100000,500
COV-00114,PV-00029,property_damage_liability,250000,500
COV-00115,PV-00029,collision,50000,500
COV-00116,PV-00029,comprehensive,50000,500
COV-00117,PV-00030,bodily_injury_liability,250000,500
COV-00118,PV-00030,property_damage_liability,250000,1000
COV-00119,PV-00030,collision,50000,500
COV-00120,PV-00030,comprehensive,50000,1000
COV-00121,PV-00031,bodily_injury_liability,25000,250
COV-00122,PV-00031,property_damage_liability,250000,250
COV-00123,PV-00031,collision,250000,250
COV-00124,PV-00031,comprehensive,25000,500
COV-00125,PV-00032,bodily_injury_liability,100000,250
COV-00126,PV-00032,property_damage_liability,250000,250
COV-00127,PV-00032,collision,25000,500
COV-00128,PV-00032,comprehensive,50000,1000
COV-00129,PV-00033,bodily_injury_liability,25000,250
COV-00130,PV-00033,property_damage_liability,50000,250
COV-00131,PV-00033,collision,50000,250
COV-00132,PV-00033,comprehensive,50000,500
COV-00133,PV-00034,bodily_injury_liability,50000,1000
COV-00134,PV-00034,property_damage_liability,25000,250
COV-00135,PV-00034,collision,100000,250
COV-00136,PV-00034,comprehensive,25000,500
COV-00137,PV-00035,bodily_injury_liability,250000,1000
COV-00138,PV-00035,property_damage_liability,50000,250
COV-00139,PV-00035,collision,50000,250
COV-00140,PV-00035,comprehensive,100000,1000
COV-00141,PV-00036,bodily_injury_liability,25000,500
COV-00142,PV-00036,property_damage_liability,250000,1000
COV-00143,PV-00036,collision,100000,250
COV-00144,PV-00036,comprehensive,100000,250
COV-00145,PV-00037,bodily_injury_liability,50000,500
COV-00146,PV-00037,property_damage_liability,50000,1000
COV-00147,PV-00037,collision,100000,1000
COV-00148,PV-00037,comprehensive,250000,500
COV-00149,PV-00038,bodily_injury_liability,50000,500
COV-00150,PV-00038,property_damage_liability,250000,500
COV-00151,PV-00038,collision,25000,500
COV-00152,PV-00038,comprehensive,100000,250
COV-00153,PV-00039,bodily_injury_liability,100000,500
COV-00154,PV-00039,property_damage_liability,100000,1000
COV-00155,PV-00039,collision,100000,1000
COV-00156,PV-00039,comprehensive,25000,1000
COV-00157,PV-00040,bodily_injury_liability,50000,1000
COV-00158,PV-00040,property_damage_liability,250000,1000
COV-00159,PV-00040,collision,250000,500
COV-00160,PV-00040,comprehensive,25000,250
